Permissive,Description,Logic
M7178B_RevPerm.Inp_Perm00,Down Position,XIO(ZSD7178_Sts) OTE(M7178B_RevPerm.Inp_Perm00) 
M7178B_RevPerm.Inp_Perm01,,
M7178B_RevPerm.Inp_Perm02,,
M7178B_RevPerm.Inp_Perm03,,
M7178B_RevPerm.Inp_Perm04,,
M7178B_RevPerm.Inp_Perm05,,
M7178B_RevPerm.Inp_Perm06,,
M7178B_RevPerm.Inp_Perm07,,
M7178B_RevPerm.Inp_Perm08,,
XC7140_Perm0.Inp_Perm00,,
XC7140_Perm0.Inp_Perm01,,
XC7140_Perm0.Inp_Perm02,,
XC7140_Perm0.Inp_Perm03,,
XC7140_Perm0.Inp_Perm04,,
XC7140_Perm0.Inp_Perm05,,
XC7140_Perm0.Inp_Perm06,,
XC7140_Perm0.Inp_Perm07,,
XC7140_Perm0.Inp_Perm08,,
XC7140_Perm1.Inp_Perm00,,
XC7140_Perm1.Inp_Perm01,,
XC7140_Perm1.Inp_Perm02,,
XC7140_Perm1.Inp_Perm03,,
XC7140_Perm1.Inp_Perm04,,
XC7140_Perm1.Inp_Perm05,,
XC7140_Perm1.Inp_Perm06,,
XC7140_Perm1.Inp_Perm07,,
XC7140_Perm1.Inp_Perm08,,
XC7140_Perm2.Inp_Perm00,,
XC7140_Perm2.Inp_Perm01,,
XC7140_Perm2.Inp_Perm02,,
XC7140_Perm2.Inp_Perm03,,
XC7140_Perm2.Inp_Perm04,,
XC7140_Perm2.Inp_Perm05,,
XC7140_Perm2.Inp_Perm06,,
XC7140_Perm2.Inp_Perm07,,
XC7140_Perm2.Inp_Perm08,,
XC7140_Perm3.Inp_Perm00,,
XC7140_Perm3.Inp_Perm01,,
XC7140_Perm3.Inp_Perm02,,
XC7140_Perm3.Inp_Perm03,,
XC7140_Perm3.Inp_Perm04,,
XC7140_Perm3.Inp_Perm05,,
XC7140_Perm3.Inp_Perm06,,
XC7140_Perm3.Inp_Perm07,,
XC7140_Perm3.Inp_Perm08,,
XC7141_Perm0.Inp_Perm00,,
XC7141_Perm0.Inp_Perm01,,
XC7141_Perm0.Inp_Perm02,,
XC7141_Perm0.Inp_Perm03,,
XC7141_Perm0.Inp_Perm04,,
XC7141_Perm0.Inp_Perm05,,
XC7141_Perm0.Inp_Perm06,,
XC7141_Perm0.Inp_Perm07,,
XC7141_Perm0.Inp_Perm08,,
XC7141_Perm1.Inp_Perm00,,
XC7141_Perm1.Inp_Perm01,,
XC7141_Perm1.Inp_Perm02,,
XC7141_Perm1.Inp_Perm03,,
XC7141_Perm1.Inp_Perm04,,
XC7141_Perm1.Inp_Perm05,,
XC7141_Perm1.Inp_Perm06,,
XC7141_Perm1.Inp_Perm07,,
XC7141_Perm1.Inp_Perm08,,
XC7141_Perm2.Inp_Perm00,,
XC7141_Perm2.Inp_Perm01,,
XC7141_Perm2.Inp_Perm02,,
XC7141_Perm2.Inp_Perm03,,
XC7141_Perm2.Inp_Perm04,,
XC7141_Perm2.Inp_Perm05,,
XC7141_Perm2.Inp_Perm06,,
XC7141_Perm2.Inp_Perm07,,
XC7141_Perm2.Inp_Perm08,,
XC7141_Perm3.Inp_Perm00,,
XC7141_Perm3.Inp_Perm01,,
XC7141_Perm3.Inp_Perm02,,
XC7141_Perm3.Inp_Perm03,,
XC7141_Perm3.Inp_Perm04,,
XC7141_Perm3.Inp_Perm05,,
XC7141_Perm3.Inp_Perm06,,
XC7141_Perm3.Inp_Perm07,,
XC7141_Perm3.Inp_Perm08,,
XC7145_Perm0.Inp_Perm00,,
XC7145_Perm0.Inp_Perm01,,
XC7145_Perm0.Inp_Perm02,,
XC7145_Perm0.Inp_Perm03,,
XC7145_Perm0.Inp_Perm04,,
XC7145_Perm0.Inp_Perm05,,
XC7145_Perm0.Inp_Perm06,,
XC7145_Perm0.Inp_Perm07,,
XC7145_Perm0.Inp_Perm08,,
XC7145_Perm1.Inp_Perm00,,
XC7145_Perm1.Inp_Perm01,,
XC7145_Perm1.Inp_Perm02,,
XC7145_Perm1.Inp_Perm03,,
XC7145_Perm1.Inp_Perm04,,
XC7145_Perm1.Inp_Perm05,,
XC7145_Perm1.Inp_Perm06,,
XC7145_Perm1.Inp_Perm07,,
XC7145_Perm1.Inp_Perm08,,
XC7145_Perm2.Inp_Perm00,,
XC7145_Perm2.Inp_Perm01,,
XC7145_Perm2.Inp_Perm02,,
XC7145_Perm2.Inp_Perm03,,
XC7145_Perm2.Inp_Perm04,,
XC7145_Perm2.Inp_Perm05,,
